time,open,high,low,close,Fast EMA,Slow EMA,Buy Signal,Sell Signal,Buy/Sell Ribbon,Buy/Sell Ribbon,Buy more signals,Sell more signals,Volume,Volume MA
2010-07-17T07:00:00+07:00,0.04951,0.04951,0.04951,0.04951,NaN,NaN,0,0,NaN,NaN,NaN,NaN,20,NaN
2010-07-18T07:00:00+07:00,0.05941,0.08585,0.05941,0.08584,NaN,NaN,0,0,NaN,NaN,NaN,NaN,75.01,NaN
2010-07-19T07:00:00+07:00,0.0909,0.09307,0.07723,0.0808,NaN,NaN,0,0,NaN,NaN,NaN,NaN,574,NaN
2010-07-20T07:00:00+07:00,0.08181,0.08181,0.07426,0.07474,NaN,NaN,0,0,NaN,NaN,NaN,NaN,262,NaN
2010-07-21T07:00:00+07:00,0.07425,0.07921,0.06634,0.07921,NaN,NaN,0,0,NaN,NaN,NaN,NaN,575,NaN
2010-07-22T07:00:00+07:00,0.07921,0.08181,0.0505,0.05149,NaN,NaN,0,0,NaN,NaN,NaN,NaN,2160,NaN
2010-07-23T07:00:00+07:00,0.0505,0.06767,0.0505,0.06262,NaN,NaN,0,0,NaN,NaN,NaN,NaN,2402.5,NaN
2010-07-24T07:00:00+07:00,0.06161,0.06161,0.05049,0.05454,NaN,NaN,0,0,NaN,NaN,NaN,NaN,496.32,NaN
2010-07-25T07:00:00+07:00,0.05545,0.05941,0.0505,0.0505,NaN,NaN,0,0,NaN,NaN,NaN,NaN,1551.48,NaN
2010-07-26T07:00:00+07:00,0.05,0.056,0.05,0.056,NaN,NaN,0,0,NaN,NaN,NaN,NaN,877,NaN
2010-07-27T07:00:00+07:00,0.0559,0.0605,0.053,0.06,NaN,NaN,0,0,NaN,NaN,NaN,NaN,3373.69,NaN
2010-07-28T07:00:00+07:00,0.06,0.062,0.054,0.0589,0.06367916667,NaN,0,0,NaN,NaN,NaN,NaN,4390.29,NaN
2010-07-29T07:00:00+07:00,0.0597,0.0699,0.0571,0.0699,0.06463621795,NaN,0,0,NaN,NaN,NaN,NaN,8058.49,NaN
2010-07-30T07:00:00+07:00,0.0698,0.0698,0.0582,0.0627,0.06433833826,NaN,0,0,NaN,NaN,NaN,NaN,3020.85,NaN
